w1,w2,type,mean_dist,pairs,p_value
club,fang,NOUN-NOUN,1.0,14,1.1609195570049021e-07
fore,leg,NOUN-NOUN,1.0,14,1.1609195570049021e-07
red,sweater,ADJ-NOUN,1.0,12,9.275152938959723e-07
country,law,NOUN-NOUN,1.0,8,6.173499053346703e-05
trace,trail,NOUN-NOUN,1.0,8,6.173499053346703e-05
clara,santa,NOUN-NOUN,1.0,8,6.173499053346703e-05
clara,valley,NOUN-NOUN,1.0,8,6.173499053346703e-05
rest,team,NOUN-NOUN,1.0,8,6.173499053346703e-05
salt,water,NOUN-NOUN,1.0,8,6.173499053346703e-05
forth,paragraph,NOUN-NOUN,1.0,8,6.173499053346703e-05
hundred,yard,ADJ-NOUN,1.0,7,0.00017871703222627759
anyone,united,NOUN-NOUN,1.0,6,0.0005216877609641417
toot,ysabel,NOUN-NOUN,1.0,6,0.0005216877609641417
end,rope,NOUN-NOUN,1.0,6,0.0005216877609641417
air,mid,NOUN-NOUN,1.0,6,0.0005216877609641417
hell,lak,NOUN-NOUN,1.0,6,0.0005216877609641417
forty,mile,NOUN-NOUN,1.0,6,0.0005216877609641417
mile,quarter,NOUN-NOUN,1.0,6,0.0005216877609641417
bank,yukon,NOUN-NOUN,1.0,6,0.0005216877609641417
head,pack,NOUN-NOUN,1.0,6,0.0005216877609641417
